Date,Team,fuckYOIU,WinLoss,
2017/10/25,PHX,0.044836619,W,0.215566973
2017/10/26,ATL,0.04665267,L,0.585244322
2017/10/26,CHI,0.033062191,W,0.414755678
2017/10/26,DAL,0.042962228,L,0.212309957
2017/10/26,MEM,0.159393935,W,0.787690043
2017/10/26,BOS,0.065152796,W,0.248069889
2017/10/26,MIL,0.197486077,L,0.751930111
2017/10/26,LAC,0.19449855,W,0.575811992
2017/10/26,POR,0.143282797,L,0.424188008
2017/10/26,NOR,0.275322785,W,0.872600152
2017/10/26,SAC,0.040197198,L,0.127399848
2017/10/27,DEN,0.172958143,W,0.832498847
2017/10/27,ATL,0.034799674,L,0.167501153
2017/10/27,HOU,0.243772159,W,0.659806397
2017/10/27,CHA,0.125687973,L,0.340193603
2017/10/27,WAS,0.2141947,L,0.385263445
2017/10/27,GSW,0.341774736,W,0.614736555
2017/10/27,TOR,0.163262526,W,0.660500257
2017/10/27,LAL,0.083917584,L,0.339499743
2017/10/27,OKC,0.279406093,L,0.497797065
2017/10/27,MIN,0.281879043,W,0.502202935
2017/10/27,BKN,0.028949368,L,0.221222242
2017/10/27,NYK,0.101911651,W,0.778777758
2017/10/27,SAS,0.122259256,L,0.548739174
2017/10/27,ORL,0.10054105,W,0.451260826
2017/10/28,OKC,0.282368339,W,0.8785562
2017/10/28,CHI,0.039032089,L,0.1214438
2017/10/28,PHI,0.024060188,W,0.33447598
2017/10/28,DAL,0.047873791,L,0.66552402
2017/10/28,DET,0.154711285,W,0.446975947
2017/10/28,LAC,0.191417597,L,0.553024053
2017/10/28,HOU,0.305886426,L,0.631262407
2017/10/28,MEM,0.178676606,W,0.368737593
2017/10/28,BOS,0.065152796,W,0.552028669
2017/10/28,MIA,0.052871502,L,0.447971331
2017/10/28,CLE,0.203134392,L,0.471739685
2017/10/28,NOR,0.227472568,W,0.528260315
2017/10/28,PHX,0.039328858,L,0.214899794
2017/10/28,POR,0.143681358,W,0.785100206
2017/10/28,LAL,0.041161079,L,0.210556746
2017/10/28,UTA,0.15432579,W,0.789443254
2017/10/29,MIL,0.204430477,W,0.857415731
2017/10/29,ATL,0.033995842,L,0.142584269
2017/10/29,DEN,0.173522701,W,0.854744907
2017/10/29,BKN,0.029488396,L,0.145255093
2017/10/29,ORL,0.027670599,L,0.180430728
2017/10/29,CHA,0.125687973,W,0.819569272
2017/10/29,NYK,0.140757178,W,0.390022641
2017/10/29,CLE,0.220137712,L,0.609977359
2017/10/29,DET,0.154689384,W,0.322873841
2017/10/29,GSW,0.324412248,L,0.677126159
2017/10/29,SAS,0.124544198,L,0.806376451
2017/10/29,IND,0.029905002,W,0.193623549
2017/10/29,WAS,0.2141947,W,0.870280819
2017/10/29,SAC,0.031926662,L,0.129719181
2017/10/30,SAS,0.124544198,L,0.637242502
2017/10/30,BOS,0.070898193,W,0.362757498
2017/10/30,PHI,0.018707078,W,0.071390109
2017/10/30,HOU,0.243333113,L,0.928609891
2017/10/30,GSW,0.336422303,W,0.637731895
2017/10/30,LAC,0.191107064,L,0.362268105
2017/10/30,CHA,0.186504735,W,0.510718139
2017/10/30,MEM,0.178676606,L,0.489281861
2017/10/30,MIN,0.335335714,W,0.802834161
2017/10/30,MIA,0.082354178,L,0.197165839
2017/10/30,ORL,0.028272134,W,0.109915487
2017/10/30,NOR,0.228944883,L,0.890084513
2017/10/30,DEN,0.172666596,L,0.628842954
2017/10/30,NYK,0.101911651,W,0.371157046
2017/10/30,TOR,0.163292964,W,0.532634947
2017/10/30,POR,0.143282797,L,0.467365053
2017/10/30,DAL,0.038957582,L,0.20155682
2017/10/30,UTA,0.15432579,W,0.79844318
2017/10/31,PHX,0.039328858,W,0.651796658
2017/10/31,BKN,0.021010294,L,0.348203342
2017/10/31,SAC,0.052516189,L,0.637168528
2017/10/31,IND,0.029905002,W,0.362831472
2017/10/31,DET,0.154689384,L,0.648302039
2017/10/31,LAL,0.083917584,W,0.351697961
2017/10/31,OKC,0.282368339,W,0.650621115
2017/10/31,MIL,0.151629779,L,0.349378885
2017/11/1,SAC,0.044765061,L,0.387029239
2017/11/1,BOS,0.070898193,W,0.612970761
2017/11/1,MIL,0.204861765,L,0.619760783
2017/11/1,CHA,0.125687973,W,0.380239217
2017/11/1,IND,0.074762506,W,0.255130974
2017/11/1,CLE,0.218273281,L,0.744869026
2017/11/1,TOR,0.183543712,L,0.489364454
2017/11/1,DEN,0.191521764,W,0.510635546
2017/11/1,DAL,0.038957582,L,0.169483046
2017/11/1,LAC,0.190903651,W,0.830516954
2017/11/1,ORL,0.027670599,W,0.147920069
2017/11/1,MEM,0.159393935,L,0.852079931
2017/11/1,CHI,0.064124147,L,0.23818365
2017/11/1,MIA,0.2050973,W,0.76181635
2017/11/1,MIN,0.33905398,W,0.596927217
2017/11/1,NOR,0.228944883,L,0.403072783
2017/11/1,HOU,0.224043226,W,0.688779971
2017/11/1,NYK,0.10123224,L,0.311220029
2017/11/1,ATL,0.049006994,L,0.706045334
2017/11/1,PHI,0.020403555,W,0.293954666
2017/11/1,POR,0.11100493,L,0.41333907
2017/11/1,UTA,0.157551657,W,0.58666093
2017/11/1,PHX,0.039328858,W,0.181538438
2017/11/1,WAS,0.177313183,L,0.818461562
2017/11/2,LAL,0.04210298,L,0.218621838
2017/11/2,POR,0.150480619,W,0.781378162
2017/11/2,GSW,0.336250396,W,0.844318693
2017/11/2,SAS,0.062000168,L,0.155681307
2017/11/3,HOU,0.224302377,W,0.868385301
2017/11/3,ATL,0.033995842,L,0.131614699
2017/11/3,NOR,0.273850471,W,0.860871538
2017/11/3,DAL,0.044257933,L,0.139128462
2017/11/3,MIA,0.238817579,L,0.554951767
2017/11/3,DEN,0.191521764,W,0.445048233
2017/11/3,MIL,0.204861765,L,0.605659215
2017/11/3,DET,0.133384166,W,0.394340785
2017/11/3,BKN,0.017521793,L,0.204276906
2017/11/3,LAL,0.068252919,W,0.795723094
2017/11/3,PHX,0.039248595,L,0.278042834
2017/11/3,NYK,0.101911651,W,0.721957166
2017/11/3,BOS,0.0662572,W,0.180939351
2017/11/3,OKC,0.299927379,L,0.819060649
2017/11/3,CHI,0.049917873,W,0.334687924
2017/11/3,ORL,0.099229645,L,0.665312076
2017/11/3,IND,0.096554807,L,0.769286735
2017/11/3,PHI,0.02895731,W,0.230713265
2017/11/3,CHA,0.197708653,L,0.761808467
2017/11/3,SAS,0.061816755,W,0.238191533
2017/11/3,TOR,0.195983795,W,0.554354008
2017/11/3,UTA,0.157551657,L,0.445645992
2017/11/3,CLE,0.185795904,W,0.470644946
2017/11/3,WAS,0.208972819,L,0.529355054
2017/11/4,NOR,0.273850471,W,0.875250032
2017/11/4,CHI,0.039032089,L,0.124749968
2017/11/4,GSW,0.337363493,W,0.637072702
2017/11/4,DEN,0.192189087,L,0.362927298
2017/11/4,SAC,0.044106466,L,0.248138505
2017/11/4,DET,0.133642917,W,0.751861495
2017/11/4,MEM,0.149796236,W,0.438878827
2017/11/4,LAC,0.191519469,L,0.561121173
2017/11/4,DAL,0.038957582,L,0.122039176
2017/11/4,MIN,0.280264351,W,0.877960824
2017/11/5,ATL,0.047758498,W,0.187200133
2017/11/5,CLE,0.2073615,L,0.812799867
2017/11/5,UTA,0.15961104,L,0.407367887
2017/11/5,HOU,0.232199521,W,0.592632113
2017/11/5,MIA,0.240214136,W,0.556392516
2017/11/5,LAC,0.191520887,L,0.443607484
2017/11/5,MEM,0.149520172,L,0.699475832
2017/11/5,LAL,0.06424014,W,0.300524168
2017/11/5,CHA,0.197708653,L,0.412247133
2017/11/5,MIN,0.281879043,W,0.587752867
2017/11/5,IND,0.096554807,L,0.486504411
2017/11/5,NYK,0.101911651,W,0.513495589
2017/11/5,BOS,0.066085795,W,0.399755734
2017/11/5,ORL,0.099229645,L,0.600244266
2017/11/5,OKC,0.282368339,L,0.652348432
2017/11/5,POR,0.150480619,W,0.347651568
2017/11/5,PHX,0.039328858,L,0.398421218
2017/11/5,SAS,0.059382897,W,0.601578782
2017/11/5,WAS,0.151639126,W,0.460472891
2017/11/5,TOR,0.177672608,L,0.539527109
2017/11/6,BOS,0.065152796,W,0.663731244
2017/11/6,ATL,0.033008616,L,0.336268756
2017/11/6,MIA,0.240214136,L,0.425835558
2017/11/6,GSW,0.323886563,W,0.574164442
2017/11/6,BKN,0.028949368,W,0.392644708
2017/11/6,PHX,0.044779801,L,0.607355292
2017/11/7,MIL,0.204861765,L,0.492795162
2017/11/7,CLE,0.210852066,W,0.507204838
2017/11/7,BKN,0.029409256,L,0.132858277
2017/11/7,DEN,0.191948847,W,0.867141723
2017/11/7,NOR,0.273850471,W,0.754898061
2017/11/7,IND,0.088914365,L,0.245101939
2017/11/7,CHA,0.197708653,L,0.661363694
